loss,acc,test_loss,test_acc
0.40086,0.938,0.78130,0.75062
0.27647,0.938,0.77232,0.74750
0.51610,0.875,0.73674,0.75062
0.34886,0.875,0.77063,0.74938
0.90924,0.750,0.82527,0.72000
0.98821,0.625,0.79848,0.73625
0.24823,0.938,0.80849,0.74438
0.19469,0.875,0.76501,0.75438
0.35192,0.875,0.77138,0.74938
0.20862,0.875,0.82761,0.73500
0.09785,1.000,0.75349,0.74687
0.18270,0.938,0.77976,0.74687
0.60509,0.875,0.76989,0.73875
0.15727,0.938,0.85293,0.72875
0.72369,0.812,0.80059,0.72813
0.31270,0.875,0.83215,0.73313
0.36103,0.812,0.77891,0.74187
0.28895,0.875,0.80523,0.74562
0.12645,0.938,0.77887,0.74125
0.67038,0.625,0.79565,0.74687
0.30487,0.875,0.79365,0.73875
0.19281,0.938,0.77220,0.75500
0.43491,0.875,0.76937,0.74687
0.41017,0.938,0.76201,0.74625
0.15918,0.875,0.78426,0.73938
0.60260,0.750,0.83581,0.73000
0.26152,0.938,0.76894,0.75125
0.70031,0.750,0.79076,0.74500
0.37548,0.875,0.77484,0.75187
0.48805,0.750,0.79638,0.73938
0.20125,0.875,0.77929,0.75000
0.47708,0.875,0.75194,0.75375
0.95343,0.750,0.72356,0.77000
0.36348,0.812,0.81290,0.73813
0.53188,0.812,0.75231,0.75813
0.86388,0.688,0.78519,0.75750
0.34191,0.938,0.74294,0.75125
0.46881,0.875,0.83540,0.73938
0.65788,0.812,0.80880,0.74625
0.13493,1.000,0.78629,0.73875
0.34596,0.875,0.76038,0.75750
0.23625,0.812,0.74276,0.75187
0.34437,0.812,0.76987,0.75562
0.09763,1.000,0.80146,0.74438
0.21741,0.938,0.74708,0.76375
0.46762,0.875,0.74738,0.75750
0.35699,0.812,0.75124,0.74875
0.18191,1.000,0.78014,0.74375
0.36958,0.812,0.75932,0.75562
0.26704,0.812,0.78534,0.74250
0.43684,0.812,0.80214,0.74313
0.56148,0.875,0.80450,0.72750
0.30088,1.000,0.78754,0.74750
0.63987,0.812,0.81545,0.74000
0.42697,0.812,0.77395,0.74375
0.06114,1.000,0.85078,0.72062
0.63272,0.812,0.81209,0.72750
0.75775,0.812,0.79067,0.73875
0.36907,0.875,0.77282,0.74500
0.45211,0.875,0.77470,0.74813
0.50277,0.812,0.75961,0.75062
0.37982,0.875,0.82701,0.73375
0.42711,0.750,0.80129,0.73562
0.27146,0.875,0.77061,0.74687
1.05791,0.625,0.82652,0.73562
1.07955,0.625,0.75214,0.75938
0.30951,0.875,0.76870,0.75125
0.23625,1.000,0.78942,0.75187
0.34766,0.938,0.83112,0.72500
0.49210,0.938,0.80501,0.73938
0.22452,0.938,0.86367,0.72688
0.60972,0.750,0.88610,0.72250
0.23326,0.938,0.80469,0.73438
0.19489,0.938,0.83967,0.73188
0.31507,0.812,0.78249,0.75125
0.61402,0.750,0.77594,0.74687
0.57694,0.750,0.79580,0.74438
0.04387,1.000,0.79789,0.74500
0.11542,0.938,0.80396,0.73687
0.53287,0.875,0.76571,0.74562
1.23667,0.688,0.78196,0.74438
0.27616,0.938,0.80885,0.73562
0.40023,0.875,0.82249,0.73500
0.18853,0.938,0.82705,0.74125
0.15551,0.938,0.80525,0.74062
0.44849,0.875,0.76180,0.75875
0.37232,0.812,0.78151,0.74438
0.98250,0.875,0.82670,0.73687
