loss,acc,test_loss,test_acc
1.17004,0.625,0.78285,0.73938
0.46792,0.812,0.79573,0.74062
0.53974,0.812,0.77028,0.74438
0.40156,0.812,0.74683,0.75500
0.55793,0.875,0.79127,0.74438
0.58219,0.812,0.83104,0.72375
0.62717,0.812,0.78382,0.72875
0.59512,0.750,0.78375,0.74125
0.30048,0.938,0.79916,0.73062
1.02288,0.688,0.76053,0.74500
1.22364,0.562,0.72953,0.75313
0.51823,0.875,0.75981,0.74813
0.38879,0.875,0.80260,0.73750
0.63981,0.688,0.82712,0.72625
0.76629,0.812,0.80587,0.73125
0.63892,0.812,0.79418,0.73813
0.63735,0.812,0.83335,0.73562
0.52824,0.875,0.84220,0.72625
0.36770,0.750,0.80201,0.73438
0.66500,0.688,0.72791,0.76500
0.60960,0.750,0.75815,0.75313
0.38812,0.875,0.77634,0.74687
0.31015,0.875,0.82426,0.73500
0.57354,0.875,0.75631,0.74562
0.32386,0.875,0.78132,0.74062
0.68221,0.812,0.79179,0.73188
0.56611,0.812,0.80549,0.73750
0.20890,0.938,0.75366,0.74875
0.26634,0.875,0.80488,0.74313
0.55129,0.750,0.75694,0.75313
0.60445,0.750,0.76295,0.75313
0.61561,0.750,0.81401,0.73813
0.79680,0.750,0.81877,0.73813
0.29841,0.938,0.83117,0.72813
0.40915,0.812,0.79339,0.74062
0.41715,0.812,0.79832,0.74438
0.07588,1.000,0.83679,0.72937
0.57193,0.812,0.84912,0.73125
0.54200,0.812,0.78116,0.74625
0.41548,0.875,0.79245,0.74687
0.35412,0.875,0.76394,0.74875
0.37822,0.875,0.81325,0.73000
0.37372,0.938,0.75423,0.75875
0.78653,0.812,0.77400,0.75125
0.44642,0.812,0.79989,0.74875
0.93641,0.750,0.81655,0.73125
0.39500,0.938,0.74806,0.75625
0.39010,0.875,0.82317,0.73500
0.84516,0.688,0.75924,0.74687
0.45506,0.875,0.78214,0.74438
0.34094,0.875,0.82049,0.74500
0.50178,0.750,0.85047,0.72937
0.38893,0.812,0.74654,0.75687
0.49419,0.812,0.79849,0.75187
0.48228,0.812,0.81253,0.73125
0.45145,0.938,0.83465,0.73062
0.53263,0.812,0.76078,0.74250
0.13755,0.938,0.79464,0.75250
0.26578,0.938,0.85405,0.73250
0.36741,0.875,0.75932,0.75500
0.25158,0.938,0.80543,0.75062
0.29679,0.812,0.84194,0.73938
0.69173,0.812,0.82731,0.74062
0.87398,0.688,0.75531,0.75062
0.18284,1.000,0.77707,0.75750
0.21488,0.938,0.77287,0.74187
0.32085,0.938,0.85985,0.71625
0.21958,0.938,0.86413,0.72188
0.42081,0.875,0.82084,0.74125
0.57675,0.750,0.74957,0.76687
0.47473,0.812,0.78193,0.73813
0.95795,0.750,0.84087,0.73313
0.43727,0.812,0.77880,0.74438
0.52086,0.812,0.79821,0.74250
0.19155,0.938,0.81394,0.74187
0.82879,0.750,0.79839,0.74375
0.50886,0.875,0.78829,0.73000
0.41545,0.750,0.76006,0.74625
0.27920,0.938,0.75966,0.75313
0.14272,1.000,0.73775,0.76125
0.65302,0.875,0.77926,0.75125
0.31109,0.812,0.78675,0.73562
0.69588,0.688,0.77561,0.74375
0.57023,0.875,0.78435,0.73750
0.34605,0.875,0.81253,0.74187
0.60108,0.750,0.86603,0.72437
0.42071,0.875,0.77655,0.75562
0.14982,0.938,0.78563,0.74375
0.32894,0.938,0.75247,0.75687
0.45622,0.938,0.76089,0.75000
0.28591,0.875,0.76645,0.75750
0.39044,0.875,0.78563,0.74562
0.30402,0.875,0.80003,0.74750
0.23040,0.938,0.80710,0.74938
0.23660,0.938,0.79127,0.74125
0.60721,0.812,0.83130,0.72813
0.10615,1.000,0.87143,0.71750
0.18282,0.938,0.83844,0.73062
0.13487,1.000,0.76458,0.75750
0.59797,0.875,0.78696,0.75250
0.34820,0.875,0.84426,0.72937
0.48847,0.750,0.76259,0.74438
1.10068,0.750,0.82859,0.73438
0.21672,0.938,0.76616,0.75562
0.91597,0.750,0.76535,0.75062
0.35162,0.875,0.73405,0.75375
1.24135,0.688,0.77111,0.74687
0.30437,0.812,0.75864,0.75000
0.78384,0.688,0.79165,0.73938
0.32737,0.812,0.76576,0.73813
0.20793,0.938,0.75654,0.75562
0.23595,0.938,0.79591,0.74250
0.71107,0.812,0.80824,0.73875
0.15762,1.000,0.83890,0.73250
0.36725,0.812,0.76682,0.74813
0.39510,0.812,0.78034,0.75562
