loss,acc,test_loss,test_acc
0.51779,0.812,0.84136,0.74500
0.07134,1.000,0.83827,0.74938
0.19329,0.938,0.76046,0.75000
0.07381,1.000,0.81030,0.74813
0.29732,0.875,0.82609,0.74687
0.12607,0.938,0.77094,0.75875
0.13582,0.938,0.78213,0.76375
0.35561,0.875,0.79815,0.75375
0.18108,0.938,0.76326,0.74750
0.24257,0.875,0.80253,0.75313
0.13837,1.000,0.78918,0.75125
0.07888,0.938,0.84354,0.74187
0.13121,1.000,0.83765,0.75187
0.13515,0.938,0.81158,0.74125
0.13429,0.938,0.83618,0.73875
0.23249,0.875,0.82158,0.75562
0.06399,1.000,0.86346,0.74500
0.11521,0.938,0.87635,0.74438
0.18330,0.938,0.87834,0.74313
0.15500,0.938,0.86582,0.74938
0.06275,1.000,0.81675,0.74500
0.04545,1.000,0.85022,0.74062
0.22977,0.875,0.85095,0.74562
0.36174,0.812,0.85048,0.75562
0.10741,0.938,0.85905,0.74875
0.21458,0.938,0.95268,0.72625
0.15256,0.938,0.82950,0.75125
0.17214,0.938,0.80080,0.75562
0.21050,0.938,0.81558,0.74938
0.18264,0.875,0.83008,0.74813
0.21351,0.875,0.80994,0.75125
0.05602,1.000,0.82431,0.75438
0.08518,0.938,0.81770,0.75813
0.08919,1.000,0.80271,0.75625
0.09578,1.000,0.82122,0.75875
0.44455,0.938,0.83780,0.74938
0.08300,1.000,0.83198,0.74875
0.23465,0.875,0.82533,0.75062
0.08429,1.000,0.80429,0.75375
0.22238,0.875,0.81454,0.75187
0.06513,0.938,0.78590,0.75625
0.18350,0.938,0.80362,0.76000
0.13670,0.938,0.80994,0.75813
0.31600,0.875,0.81623,0.75125
0.14632,0.875,0.82194,0.76125
0.12127,0.938,0.79838,0.75562
0.35604,0.875,0.83584,0.74562
0.07348,1.000,0.82142,0.75313
0.26412,0.875,0.81067,0.76125
0.15274,0.938,0.86877,0.74625
0.02256,1.000,0.85084,0.74687
0.05073,1.000,0.85074,0.75062
0.24762,0.938,0.85110,0.75125
0.00699,1.000,0.83533,0.75625
0.13000,0.938,0.85766,0.75687
0.75056,0.812,0.89408,0.74562
0.24185,0.938,0.86390,0.76375
0.16945,0.875,0.87234,0.75313
0.25052,0.875,0.81399,0.75875
0.12307,0.938,0.81110,0.74813
0.32801,0.875,0.84471,0.75000
0.04654,1.000,0.80187,0.75875
0.93353,0.750,0.85408,0.73813
0.23337,0.938,0.86290,0.74813
0.05453,1.000,0.85004,0.75750
0.50583,0.812,0.82997,0.75938
0.06971,1.000,0.80030,0.75875
0.04301,1.000,0.83429,0.75062
0.64626,0.875,0.82909,0.74813
0.04791,1.000,0.84386,0.75375
0.14455,0.938,0.84057,0.74938
0.21621,0.938,0.79588,0.75813
0.21763,0.938,0.79586,0.76562
0.47500,0.875,0.79398,0.76562
0.33295,0.875,0.81761,0.75250
0.14190,0.938,0.78386,0.76875
0.53565,0.812,0.80926,0.75250
0.23650,0.875,0.79554,0.76187
0.43236,0.875,0.84266,0.74938
0.46142,0.938,0.79709,0.75000
0.14077,0.938,0.75977,0.75813
0.26320,0.812,0.80345,0.74625
0.06425,1.000,0.80443,0.76187
